2025-08-09 23:24:02.564 | INFO     | __main__:main:264 - 成功加载配置文件
2025-08-09 23:24:02.564 | INFO     | __main__:evaluate_dify_rag:186 - 开始评估Dify知识库召回和RAG系统...
2025-08-09 23:24:02.670 | INFO     | __main__:evaluate_dify_rag:193 - 加载了 1 条测试数据
2025-08-09 23:24:02.670 | INFO     | __main__:evaluate_dify_rag:202 - 使用自定义LLM进行评估: deepseek-chat
2025-08-09 23:24:02.670 | INFO     | __main__:evaluate_dify_rag:203 - API Base URL: https://api.deepseek.com/v1
2025-08-09 23:24:04.244 | INFO     | dify_retrieval:__init__:19 - DifyRetrieval初始化成功
2025-08-09 23:24:04.247 | INFO     | __main__:create_evaluation_dataset:115 - 处理QA对 1/1: 二氯二氟甲烷的检出限是多少？
2025-08-09 23:24:04.247 | INFO     | dify_retrieval:retrieve:64 - 开始检索知识库: 4c6c9113-c053-4929-b252-482e634f1ec0
2025-08-09 23:24:04.247 | INFO     | dify_retrieval:retrieve:65 - 检索参数 - 查询词: 二氯二氟甲烷的检出限是多少？, 搜索方法: hybrid_search, 启用重排序: False
2025-08-09 23:24:04.247 | INFO     | dify_retrieval:retrieve:94 - 检索配置 - top_k: 3
2025-08-09 23:24:04.247 | INFO     | dify_retrieval:retrieve:95 - 检索配置 - 分数阈值启用: False
2025-08-09 23:24:14.225 | INFO     | __main__:create_evaluation_dataset:134 - 检索到 2 个上下文片段
2025-08-09 23:24:14.225 | INFO     | __main__:create_evaluation_dataset:135 - RAG系统生成的答案: 二氯二氟甲烷的检出限为0.4 µg/kg。...
2025-08-09 23:24:14.225 | INFO     | __main__:evaluate_dify_rag:244 - 开始执行RAGAS评估,检索策略:hybrid_search1...
2025-08-09 23:24:31.660 | INFO     | __main__:evaluate_dify_rag:252 - 检索策略:hybrid_search1评估完成
2025-08-09 23:24:31.663 | INFO     | dify_retrieval:__init__:19 - DifyRetrieval初始化成功
2025-08-09 23:24:31.663 | INFO     | __main__:create_evaluation_dataset:115 - 处理QA对 1/1: 二氯二氟甲烷的检出限是多少？
2025-08-09 23:24:31.663 | INFO     | dify_retrieval:retrieve:64 - 开始检索知识库: 4c6c9113-c053-4929-b252-482e634f1ec0
2025-08-09 23:24:31.663 | INFO     | dify_retrieval:retrieve:65 - 检索参数 - 查询词: 二氯二氟甲烷的检出限是多少？, 搜索方法: hybrid_search, 启用重排序: True
2025-08-09 23:24:31.665 | INFO     | dify_retrieval:retrieve:93 - 检索配置 rebank model : bge-reranker-v2-m3
2025-08-09 23:24:31.665 | INFO     | dify_retrieval:retrieve:94 - 检索配置 - top_k: 3
2025-08-09 23:24:31.665 | INFO     | dify_retrieval:retrieve:95 - 检索配置 - 分数阈值启用: True
2025-08-09 23:24:31.665 | INFO     | dify_retrieval:retrieve:97 - 构建的检索配置 - 分数阈值: 0.6
2025-08-09 23:24:42.077 | INFO     | __main__:create_evaluation_dataset:134 - 检索到 2 个上下文片段
2025-08-09 23:24:42.077 | INFO     | __main__:create_evaluation_dataset:135 - RAG系统生成的答案: 二氯二氟甲烷的检出限为0.4 µg/kg。...
2025-08-09 23:24:42.077 | INFO     | __main__:evaluate_dify_rag:244 - 开始执行RAGAS评估,检索策略:hybrid_search2...
2025-08-09 23:24:59.147 | INFO     | __main__:evaluate_dify_rag:252 - 检索策略:hybrid_search2评估完成
2025-08-09 23:24:59.157 | INFO     | __main__:evaluate_dify_rag:257 - 评估结果已保存到evaluation_results.xlsx
2025-08-09 23:24:59.158 | INFO     | __main__:main:268 - 评估完成
